genotype	BLUE_Ptip	BLUE_FLN	TTem_ti
LP1037	44.2	15.3	248.9
M37W	50.6	17.8	358.9
MART4_HD106	36.0	21.2	326.7
MGA235_SSD01	41.6	21.1	374.0
Mo17	43.2	16.6	278.0
Mo22	36.2	19.7	297.3
MP496	35.5	18.8	273.7
MP705	48.4	18.2	353.6
NAYA337K_HD101	38.2	23.6	400.2
NC298	44.3	18.3	326.2
NC304	39.1	18.9	302.6
NC320	45.9	18.9	355.4
NC338	47.2	17.4	324.9
NC358	44.3	17.7	311.4
OAXA223_SSD01	27.2	16.9	179.7
OAXA50_SSD02	56.1	18.0	404.2
OAXAGP1_SSD01	42.0	23.0	424.8
Oh43	39.3	16.1	240.2
PH207	39.4	16.0	238.6
PHT77	36.7	17.5	254.7
RDOM270_SSD01	38.2	23.2	390.0
SC_Malawi	31.5	19.6	256.4
SC55	35.1	22.8	350.1
SONO24_SSD01	42.1	16.1	257.1
SVINGP2A_HD101	39.7	17.4	273.5
SVINGP2A_SSD02	28.5	20.3	243.3
Tx601	30.8	23.3	316.4
Tzi18	48.2	23.3	496.8
Tzi35	38.6	20.3	331.1
Tzi8	35.8	18.4	266.4
Tzi9	36.9	19.7	302.5
TziDT10	36.7	18.9	284.4
VEN650_SSD01	47.6	21.7	444.6
VERA359_SSD01	41.9	17.4	288.5
VL1018816	49.5	22.4	482.2
VL1253	38.7	20.3	330.7
ZL109126	31.9	22.7	317.2
ZL111056	47.5	19.2	374.9
