country	loc	year	env	lat	lon	genotype	set	project	date_planted	date_emerged	bvpti_platform	BLUE_DTA	SE_DTA	BLUE_DTA_date	BLUE_DTA_Tt_EqS2	BLUE_DTA_em_Tt_EqS2	BLUE_DTA_em_Tt_EqS2_adjusted	date_DLs	doy_DLs	daylength_DLs
usa	WI	2016	2016_WI	43.0624	-89.5337	Tzi8	test_genotype	Maize ATLAS	5/5/16	5/22/16	266.38	82.50	1.10	7/26/16	823.10	746.16	795.18	6/16/16	168	16.54
usa	WI	2016	2016_WI	43.0624	-89.5337	Tzi9	test_genotype	Maize ATLAS	5/5/16	5/22/16	302.48	90.00	0.70	8/3/16	924.81	847.86	896.89	6/19/16	171	16.55
usa	NY	2006	NY06	42.75796	-76.70368	B37	control_group1	Panzea	5/9/06	5/23/06	248.57	95.10	3.10	8/12/06	1000.98	931.01	805.25	6/19/06	170	16.50
usa	NY	2006	NY06	42.75796	-76.70368	B73	control_group1	Panzea	5/9/06	5/23/06	300.39	90.60	0.40	8/7/06	952.58	882.61	756.85	6/23/06	174	16.51
usa	NY	2006	NY06	42.75796	-76.70368	M37W	control_group1	Panzea	5/9/06	5/23/06	358.92	100.00	1.30	8/17/06	1055.81	985.84	860.08	6/28/06	179	16.48
usa	NY	2006	NY06	42.75796	-76.70368	Mo17	control_group1	Panzea	5/9/06	5/23/06	277.97	86.40	1.10	8/3/06	900.89	830.92	705.16	6/22/06	173	16.51
usa	NY	2006	NY06	42.75796	-76.70368	Oh43	control_group1	Panzea	5/9/06	5/23/06	240.21	85.60	1.30	8/2/06	885.77	815.79	690.03	6/18/06	169	16.50
usa	NY	2006	NY06	42.75796	-76.70368	Tzi8	test_genotype	Panzea	5/9/06	5/23/06	266.38	111.90	2.10	8/28/06	1175.39	1105.42	979.66	6/21/06	172	16.51
usa	NY	2006	NY06	42.75796	-76.70368	Tzi9	test_genotype	Panzea	5/9/06	5/23/06	302.48	118.30	3.00	9/4/06	1224.99	1155.02	1029.26	6/24/06	175	16.50
usa	NY	2006	2006_NY	42.73458	-76.65701	B37	control_group1	MDR	5/24/06	5/31/06	248.57	75.00	3.90	8/7/06	812.27	747.63	712.13	6/27/06	178	16.49
usa	NY	2006	2006_NY	42.73458	-76.65701	B73	control_group1	MDR	5/24/06	5/31/06	300.39	79.00	3.90	8/11/06	848.64	784.00	748.50	7/2/06	183	16.44
usa	NY	2006	2006_NY	42.73458	-76.65701	CML10	test_genotype	MDR	5/24/06	5/31/06	367.36	104.00	3.90	9/5/06	1067.44	1002.80	967.30	7/8/06	189	16.34
usa	NY	2006	2006_NY	42.73458	-76.65701	CML258	test_genotype	MDR	5/24/06	5/31/06	379.34	118.00	3.90	9/19/06	1167.35	1102.71	1067.21	7/9/06	190	16.32
usa	NY	2006	2006_NY	42.73458	-76.65701	CML341	test_genotype	MDR	5/24/06	5/31/06	351.15	112.50	3.90	9/13/06	1119.30	1054.66	1019.16	7/7/06	188	16.36
usa	NY	2006	2006_NY	42.73458	-76.65701	M37W	control_group1	MDR	5/24/06	5/31/06	358.92	87.00	3.90	8/19/06	929.94	865.30	829.80	7/8/06	189	16.34
usa	NY	2006	2006_NY	42.73458	-76.65701	Tzi8	test_genotype	MDR	5/24/06	5/31/06	266.38	104.50	3.90	9/5/06	1067.44	1002.80	967.30	6/29/06	180	16.47
usa	NY	2007	2007_NY	42.73458	-76.65701	B37	control_group1	MDR	5/23/07	5/30/07	248.57	71.50	2.10	8/2/07	757.31	691.10	715.59	6/23/07	174	16.50
usa	NY	2007	NY07	42.73458	-76.65701	B37	control_group1	Panzea	5/15/07	5/26/07	248.57	77.70	2.60	7/31/07	766.15	695.24	751.21	6/19/07	170	16.50
usa	NY	2007	2007_NY	42.73458	-76.65701	B73	control_group1	MDR	5/23/07	5/30/07	300.39	74.00	2.10	8/5/07	795.94	729.74	754.22	6/27/07	178	16.49
usa	NY	2007	NY07	42.73458	-76.65701	B73	control_group1	Panzea	5/15/07	5/26/07	300.39	80.10	0.20	8/3/07	809.65	738.74	794.71	6/25/07	176	16.50
usa	NY	2007	2007_NY	42.73458	-76.65701	CML10	test_genotype	MDR	5/23/07	5/30/07	367.36	95.00	2.10	8/26/07	1029.14	962.93	987.41	7/5/07	186	16.40
usa	NY	2007	2007_NY	42.73458	-76.65701	CML258	test_genotype	MDR	5/23/07	5/30/07	379.34	114.80	2.90	9/14/07	1217.93	1151.72	1176.21	7/6/07	187	16.38
usa	NY	2007	NY07	42.73458	-76.65701	CML258	test_genotype	Panzea	5/15/07	5/26/07	379.34	105.90	2.60	8/28/07	1089.23	1018.32	1074.29	7/3/07	184	16.43
usa	NY	2007	2007_NY	42.73458	-76.65701	CML277	test_genotype	MDR	5/23/07	5/30/07	398.71	98.00	2.10	8/29/07	1065.10	998.90	1023.38	7/8/07	189	16.34
usa	NY	2007	NY07	42.73458	-76.65701	CML277	test_genotype	Panzea	5/15/07	5/26/07	398.71	101.60	1.70	8/24/07	1041.73	970.82	1026.79	7/5/07	186	16.40
usa	NY	2007	2007_NY	42.73458	-76.65701	CML341	test_genotype	MDR	5/23/07	5/30/07	351.15	95.00	2.10	8/26/07	1029.14	962.93	987.41	7/3/07	184	16.43
usa	NY	2007	NY07	42.73458	-76.65701	CML341	test_genotype	Panzea	5/15/07	5/26/07	351.15	103.20	2.60	8/26/07	1066.98	996.07	1052.04	6/29/07	180	16.47
usa	NY	2007	2007_NY	42.73458	-76.65701	M37W	control_group1	MDR	5/23/07	5/30/07	358.92	79.00	2.10	8/10/07	862.35	796.14	820.62	7/4/07	185	16.41
usa	NY	2007	NY07	42.73458	-76.65701	M37W	control_group1	Panzea	5/15/07	5/26/07	358.92	82.50	0.90	8/5/07	833.79	762.88	818.85	6/30/07	181	16.46
usa	NY	2007	NY07	42.73458	-76.65701	Mo17	control_group1	Panzea	5/15/07	5/26/07	277.97	77.70	0.70	7/31/07	766.15	695.24	751.21	6/23/07	174	16.50
usa	NY	2007	NY07	42.73458	-76.65701	Oh43	control_group1	Panzea	5/15/07	5/26/07	240.21	73.60	0.90	7/27/07	716.36	645.45	701.42	6/18/07	169	16.49
usa	NY	2007	2007_NY	42.73458	-76.65701	Tzi8	test_genotype	MDR	5/23/07	5/30/07	266.38	95.50	2.10	8/26/07	1029.14	962.93	987.41	6/25/07	176	16.50
usa	NY	2007	NY07	42.73458	-76.65701	Tzi8	test_genotype	Panzea	5/15/07	5/26/07	266.38	99.30	0.90	8/22/07	1014.95	944.04	1000.00	6/21/07	172	16.50
usa	NY	2007	2007_NY	42.73458	-76.65701	Tzi9	test_genotype	MDR	5/23/07	5/30/07	302.48	83.00	2.10	8/14/07	908.71	842.50	866.99	6/27/07	178	16.49
usa	NY	2007	NY07	42.73458	-76.65701	Tzi9	test_genotype	Panzea	5/15/07	5/26/07	302.48	87.70	2.60	8/10/07	900.20	829.28	885.25	6/25/07	176	16.50
usa	IA	2015	2015_IA	42.0166	-93.7672	2369	control_group2	Maize ATLAS	5/13/15	5/23/15	283.11	75.60	0.30	7/27/15	812.31	752.55	781.09	6/19/15	170	16.39
usa	IA	2015	2015_IA	42.0166	-93.7672	CML10	test_genotype	Maize ATLAS	5/13/15	5/23/15	367.36	96.50	0.30	8/17/15	1081.57	1021.81	1050.34	6/26/15	177	16.39
usa	IA	2015	2015_IA	42.0166	-93.7672	CML258	test_genotype	Maize ATLAS	5/13/15	5/23/15	379.34	107.40	0.30	8/28/15	1171.52	1111.76	1140.30	6/27/15	178	16.38
usa	IA	2015	2015_IA	42.0166	-93.7672	CML277	test_genotype	Maize ATLAS	5/13/15	5/23/15	398.71	97.10	0.30	8/18/15	1090.71	1030.95	1059.49	6/28/15	179	16.37
usa	IA	2015	2015_IA	42.0166	-93.7672	CML341	test_genotype	Maize ATLAS	5/13/15	5/23/15	351.15	95.50	0.30	8/16/15	1070.03	1010.26	1038.80	6/24/15	175	16.39
usa	IA	2015	2015_IA	42.0166	-93.7672	CML373	test_genotype	Maize ATLAS	5/13/15	5/23/15	367.91	92.60	0.30	8/13/15	1028.28	968.51	997.05	6/26/15	177	16.39
usa	IA	2015	2015_IA	42.0166	-93.7672	LH123Ht	control_group2	Maize ATLAS	5/13/15	5/23/15	287.64	79.00	0.20	7/31/15	863.91	804.14	832.68	6/19/15	170	16.39
usa	IA	2015	2015_IA	42.0166	-93.7672	Tzi8	test_genotype	Maize ATLAS	5/13/15	5/23/15	266.38	92.90	0.30	8/13/15	1028.28	968.51	997.05	6/17/15	168	16.38
usa	IA	2015	2015_IA	42.0166	-93.7672	Tzi9	test_genotype	Maize ATLAS	5/13/15	5/23/15	302.48	87.00	0.30	8/8/15	965.82	906.06	934.59	6/20/15	171	16.39
usa	IA	2016	2016_IA	42.0166	-93.7672	2369	control_group2	Maize ATLAS	5/16/16	5/22/16	283.11	66.80	0.50	7/21/16	804.94	767.64	761.46	6/14/16	166	16.37
usa	IA	2016	2016_IA	42.0166	-93.7672	CML10	test_genotype	Maize ATLAS	5/16/16	5/22/16	367.36	86.90	0.60	8/10/16	1067.35	1030.05	1023.87	6/20/16	172	16.40
usa	IA	2016	2016_IA	42.0166	-93.7672	CML258	test_genotype	Maize ATLAS	5/16/16	5/22/16	379.34	96.90	0.60	8/20/16	1196.61	1159.31	1153.13	6/20/16	172	16.40
usa	IA	2016	2016_IA	42.0166	-93.7672	CML277	test_genotype	Maize ATLAS	5/16/16	5/22/16	398.71	89.80	0.60	8/13/16	1107.16	1069.85	1063.68	6/22/16	174	16.40
usa	IA	2016	2016_IA	42.0166	-93.7672	CML341	test_genotype	Maize ATLAS	5/16/16	5/22/16	351.15	84.70	0.60	8/8/16	1039.13	1001.83	995.65	6/19/16	171	16.39
usa	IA	2016	2016_IA	42.0166	-93.7672	CML373	test_genotype	Maize ATLAS	5/16/16	5/22/16	367.91	80.50	0.60	8/4/16	994.27	956.97	950.79	6/20/16	172	16.40
usa	IA	2016	2016_IA	42.0166	-93.7672	LH123Ht	control_group2	Maize ATLAS	5/16/16	5/22/16	287.64	72.20	0.50	7/27/16	895.79	858.48	852.31	6/14/16	166	16.37
usa	IA	2016	2016_IA	42.0166	-93.7672	Tzi8	test_genotype	Maize ATLAS	5/16/16	5/22/16	266.38	88.00	0.60	8/12/16	1094.58	1057.27	1051.10	6/13/16	165	16.36
usa	IA	2016	2016_IA	42.0166	-93.7672	Tzi9	test_genotype	Maize ATLAS	5/16/16	5/22/16	302.48	82.90	0.60	8/6/16	1016.86	979.55	973.38	6/15/16	167	16.37
usa	IL	2006	IL06	40.11007	-88.20487	B37	control_group1	Panzea	5/8/06	5/22/06	248.57	77.60	2.20	7/24/06	865.49	796.71	751.84	6/14/06	165	16.09
usa	IL	2006	IL06	40.11007	-88.20487	B73	control_group1	Panzea	5/8/06	5/22/06	300.39	78.60	0.20	7/25/06	880.36	811.58	766.71	6/17/06	168	16.11
usa	IL	2006	IL06	40.11007	-88.20487	CML277	test_genotype	Panzea	5/8/06	5/22/06	398.71	95.10	1.40	8/11/06	1136.29	1067.50	1022.63	6/25/06	176	16.12
usa	IL	2006	IL06	40.11007	-88.20487	M37W	control_group1	Panzea	5/8/06	5/22/06	358.92	83.20	0.80	7/30/06	958.93	890.15	845.28	6/22/06	173	16.13
usa	IL	2006	IL06	40.11007	-88.20487	Mo17	control_group1	Panzea	5/8/06	5/22/06	277.97	77.80	0.60	7/24/06	865.49	796.71	751.84	6/16/06	167	16.11
usa	IL	2006	IL06	40.11007	-88.20487	Oh43	control_group1	Panzea	5/8/06	5/22/06	240.21	73.30	0.80	7/20/06	815.37	746.59	701.72	6/13/06	164	16.08
usa	IL	2006	IL06	40.11007	-88.20487	Tzi8	test_genotype	Panzea	5/8/06	5/22/06	266.38	93.80	0.90	8/9/06	1108.17	1039.39	994.52	6/15/06	166	16.10
usa	IL	2006	IL06	40.11007	-88.20487	Tzi9	test_genotype	Panzea	5/8/06	5/22/06	302.48	88.40	2.20	8/4/06	1038.45	969.67	924.80	6/18/06	169	16.12
usa	IL	2007	IL07	40.11007	-88.20487	B37	control_group1	Panzea	5/18/07	5/25/07	248.57	70.10	2.20	7/27/07	851.03	784.88	769.01	6/14/07	165	16.09
usa	IL	2007	IL07	40.11007	-88.20487	B73	control_group1	Panzea	5/18/07	5/25/07	300.39	69.90	0.80	7/26/07	837.31	771.15	755.29	6/18/07	169	16.12
usa	IL	2007	IL07	40.11007	-88.20487	CML10	test_genotype	Panzea	5/18/07	5/25/07	367.36	85.00	2.20	8/11/07	1082.20	1016.04	1000.18	6/23/07	174	16.13
usa	IL	2007	IL07	40.11007	-88.20487	CML277	test_genotype	Panzea	5/18/07	5/25/07	398.71	86.40	1.20	8/12/07	1097.38	1031.22	1015.35	6/26/07	177	16.12
usa	IL	2007	IL07	40.11007	-88.20487	M37W	control_group1	Panzea	5/18/07	5/25/07	358.92	74.80	1.00	7/31/07	905.09	838.93	823.06	6/23/07	174	16.13
usa	IL	2007	IL07	40.11007	-88.20487	Mo17	control_group1	Panzea	5/18/07	5/25/07	277.97	68.90	0.90	7/25/07	823.26	757.10	741.24	6/16/07	167	16.11
usa	IL	2007	IL07	40.11007	-88.20487	Oh43	control_group1	Panzea	5/18/07	5/25/07	240.21	67.80	1.00	7/24/07	810.81	744.66	728.79	6/14/07	165	16.09
usa	IL	2007	IL07	40.11007	-88.20487	Tzi8	test_genotype	Panzea	5/18/07	5/25/07	266.38	85.40	1.10	8/11/07	1082.20	1016.04	1000.18	6/15/07	166	16.10
usa	IL	2007	IL07	40.11007	-88.20487	Tzi9	test_genotype	Panzea	5/18/07	5/25/07	302.48	78.00	2.20	8/4/07	967.09	900.94	885.07	6/18/07	169	16.12
usa	DE	2015	2015_DE	39.6698	-75.7493	2369	control_group2	Maize ATLAS	6/16/15	6/20/15	283.11	58.40	0.70	8/13/15	807.13	752.75	779.51	7/10/15	191	15.89
usa	DE	2015	2015_DE	39.6698	-75.7493	CML10	test_genotype	Maize ATLAS	6/16/15	6/20/15	367.36	73.30	0.70	8/28/15	1003.15	948.77	975.54	7/17/15	198	15.74
usa	DE	2015	2015_DE	39.6698	-75.7493	CML258	test_genotype	Maize ATLAS	6/16/15	6/20/15	379.34	79.30	0.70	9/3/15	1088.79	1034.41	1061.17	7/18/15	199	15.71
usa	DE	2015	2015_DE	39.6698	-75.7493	CML277	test_genotype	Maize ATLAS	6/16/15	6/20/15	398.71	74.00	0.70	8/29/15	1014.89	960.51	987.27	7/19/15	200	15.69
usa	DE	2015	2015_DE	39.6698	-75.7493	CML341	test_genotype	Maize ATLAS	6/16/15	6/20/15	351.15	72.50	0.70	8/27/15	992.59	938.22	964.98	7/15/15	196	15.79
usa	DE	2015	2015_DE	39.6698	-75.7493	CML373	test_genotype	Maize ATLAS	6/16/15	6/20/15	367.91	71.20	0.70	8/26/15	982.27	927.90	954.66	7/17/15	198	15.74
usa	DE	2015	2015_DE	39.6698	-75.7493	LH123Ht	control_group2	Maize ATLAS	6/16/15	6/20/15	287.64	62.80	0.70	8/17/15	861.87	807.49	834.26	7/11/15	192	15.87
usa	DE	2015	2015_DE	39.6698	-75.7493	Tzi8	test_genotype	Maize ATLAS	6/16/15	6/20/15	266.38	73.10	0.70	8/28/15	1003.15	948.77	975.54	7/9/15	190	15.91
usa	DE	2015	2015_DE	39.6698	-75.7493	Tzi9	test_genotype	Maize ATLAS	6/16/15	6/20/15	302.48	68.00	0.70	8/23/15	944.30	889.92	916.68	7/12/15	193	15.85
usa	DE	2016	2016_DE	39.6698	-75.7493	2369	control_group2	Maize ATLAS	5/16/16	5/26/16	283.11	68.70	0.40	7/23/16	850.25	782.41	774.49	6/18/16	170	16.06
usa	DE	2016	2016_DE	39.6698	-75.7493	CML10	test_genotype	Maize ATLAS	5/16/16	5/26/16	367.36	85.80	0.50	8/9/16	1101.45	1033.61	1025.69	6/24/16	176	16.06
usa	DE	2016	2016_DE	39.6698	-75.7493	CML258	test_genotype	Maize ATLAS	5/16/16	5/26/16	379.34	93.80	0.50	8/17/16	1238.37	1170.53	1162.61	6/25/16	177	16.06
usa	DE	2016	2016_DE	39.6698	-75.7493	CML277	test_genotype	Maize ATLAS	5/16/16	5/26/16	398.71	87.40	0.50	8/11/16	1135.23	1067.39	1059.47	6/26/16	178	16.05
usa	DE	2016	2016_DE	39.6698	-75.7493	CML341	test_genotype	Maize ATLAS	5/16/16	5/26/16	351.15	85.30	0.50	8/9/16	1101.45	1033.61	1025.69	6/23/16	175	16.07
usa	DE	2016	2016_DE	39.6698	-75.7493	CML373	test_genotype	Maize ATLAS	5/16/16	5/26/16	367.91	81.30	0.50	8/5/16	1042.43	974.59	966.67	6/24/16	176	16.06
usa	DE	2016	2016_DE	39.6698	-75.7493	LH123Ht	control_group2	Maize ATLAS	5/16/16	5/26/16	287.64	72.40	0.40	7/27/16	915.04	847.20	839.28	6/18/16	170	16.06
usa	DE	2016	2016_DE	39.6698	-75.7493	Tzi8	test_genotype	Maize ATLAS	5/16/16	5/26/16	266.38	86.40	0.50	8/10/16	1117.95	1050.10	1042.18	6/16/16	168	16.05
usa	DE	2016	2016_DE	39.6698	-75.7493	Tzi9	test_genotype	Maize ATLAS	5/16/16	5/26/16	302.48	79.60	0.50	8/3/16	1016.36	948.52	940.60	6/19/16	171	16.07
usa	MO	2006	MO06	38.95156	-92.3286	B37	control_group1	Panzea	5/17/06	5/24/06	248.57	71.10	3.40	7/27/06	987.78	919.50	823.21	6/10/06	161	15.90
usa	MO	2006	MO06	38.95156	-92.3286	B73	control_group1	Panzea	5/17/06	5/24/06	300.39	65.80	0.40	7/21/06	898.44	830.17	733.87	6/15/06	166	15.95
usa	MO	2006	MO06	38.95156	-92.3286	CML10	test_genotype	Panzea	5/17/06	5/24/06	367.36	84.70	3.10	8/9/06	1189.71	1121.44	1025.14	6/19/06	170	15.97
usa	MO	2006	MO06	38.95156	-92.3286	CML277	test_genotype	Panzea	5/17/06	5/24/06	398.71	82.30	1.20	8/7/06	1158.26	1089.98	993.69	6/21/06	172	15.97
usa	MO	2006	MO06	38.95156	-92.3286	CML341	test_genotype	Panzea	5/17/06	5/24/06	351.15	82.30	3.20	8/7/06	1158.26	1089.98	993.69	6/18/06	169	15.97
usa	MO	2006	MO06	38.95156	-92.3286	M37W	control_group1	Panzea	5/17/06	5/24/06	358.92	73.80	1.20	7/29/06	1018.92	950.64	854.35	6/19/06	170	15.97
usa	MO	2006	MO06	38.95156	-92.3286	Mo17	control_group1	Panzea	5/17/06	5/24/06	277.97	65.40	0.80	7/21/06	898.44	830.17	733.87	6/13/06	164	15.93
usa	MO	2006	MO06	38.95156	-92.3286	Oh43	control_group1	Panzea	5/17/06	5/24/06	240.21	61.70	1.10	7/17/06	836.65	768.38	672.08	6/9/06	160	15.88
usa	MO	2006	MO06	38.95156	-92.3286	Tzi8	test_genotype	Panzea	5/17/06	5/24/06	266.38	79.50	1.20	8/4/06	1111.86	1043.58	947.29	6/12/06	163	15.92
usa	MO	2006	MO06	38.95156	-92.3286	Tzi9	test_genotype	Panzea	5/17/06	5/24/06	302.48	79.60	3.10	8/4/06	1111.86	1043.58	947.29	6/15/06	166	15.95
usa	MO	2007	MO07	38.95156	-92.3286	B73	control_group1	Panzea	5/18/07	5/25/07	300.39	65.10	1.00	7/22/07	837.57	772.39	738.45	6/18/07	169	15.97
usa	MO	2007	MO07	38.95156	-92.3286	CML277	test_genotype	Panzea	5/18/07	5/25/07	398.71	83.00	1.30	8/9/07	1116.44	1051.26	1017.32	6/25/07	176	15.97
usa	MO	2007	MO07	38.95156	-92.3286	M37W	control_group1	Panzea	5/18/07	5/25/07	358.92	71.30	1.40	7/28/07	924.82	859.64	825.70	6/22/07	173	15.98
usa	MO	2007	MO07	38.95156	-92.3286	Oh43	control_group1	Panzea	5/18/07	5/25/07	240.21	64.60	1.30	7/21/07	825.40	760.22	726.28	6/14/07	165	15.94
usa	MO	2007	MO07	38.95156	-92.3286	Tzi8	test_genotype	Panzea	5/18/07	5/25/07	266.38	78.10	1.30	8/4/07	1033.66	968.48	934.54	6/16/07	167	15.96
usa	clayNC	2005	2005_NC	35.66883	-78.49391	B37	control_group1	MDR	4/21/05	5/1/05	248.57	75.50	1.20	7/5/05	830.06	760.45	726.26	5/29/05	149	15.32
usa	clayNC	2005	2005_NC	35.66883	-78.49391	B73	control_group1	MDR	4/21/05	5/1/05	300.39	78.00	1.20	7/8/05	878.05	808.44	774.25	6/3/05	154	15.41
usa	clayNC	2005	2005_NC	35.66883	-78.49391	CML10	test_genotype	MDR	4/21/05	5/1/05	367.36	92.50	1.20	7/22/05	1102.25	1032.64	998.45	6/8/05	159	15.49
usa	clayNC	2005	2005_NC	35.66883	-78.49391	CML258	test_genotype	MDR	4/21/05	5/1/05	379.34	95.50	1.20	7/25/05	1149.49	1079.88	1045.69	6/9/05	160	15.50
usa	clayNC	2005	2005_NC	35.66883	-78.49391	CML277	test_genotype	MDR	4/21/05	5/1/05	398.71	89.50	1.20	7/19/05	1053.54	983.93	949.74	6/10/05	161	15.51
usa	clayNC	2005	2005_NC	35.66883	-78.49391	CML341	test_genotype	MDR	4/21/05	5/1/05	351.15	90.00	1.20	7/20/05	1069.46	999.85	965.66	6/7/05	158	15.48
usa	clayNC	2005	2005_NC	35.66883	-78.49391	M37W	control_group1	MDR	4/21/05	5/1/05	358.92	79.00	1.20	7/9/05	893.72	824.12	789.93	6/7/05	158	15.48
usa	clayNC	2005	2005_NC	35.66883	-78.49391	Tzi8	test_genotype	MDR	4/21/05	5/1/05	266.38	86.00	1.20	7/16/05	1004.83	935.22	901.03	5/30/05	150	15.34
